Year,ORF,Dominant symbiont,S/H Em mean,SE,df,Lower CL,Upper CL,Tukey Group,% change respect 2014,% change respect 2015
2014,Type 1,C1b-c-dominated,-1.69,0.12,77.39,-1.92,-1.45,23,NA,
,,D1-dominated,-1.54,0.09,76.56,-1.73,-1.36,3,NA,
,Type 3,C1d-dominated,-1.66,0.14,74.29,-1.95,-1.37,23,NA,
2015,Type 1,C1b-c-dominated,-1.46,0.12,77.39,-1.69,-1.22,3,68.53%,
,,D1-dominated,-1.38,0.09,76.56,-1.57,-1.19,3,46.58%,
,Type 3,C1d-dominated,-2.23,0.14,74.29,-2.51,-1.94,12,-72.92%,
2016,Type 1,C1b-c-dominated,-1.74,0.25,77.10,-2.23,-1.24,123,-11.12%,-47.26%
,,D1-dominated,-1.58,0.08,75.20,-1.74,-1.43,3,-8.63%,-37.67%
,Type 3,C1d-dominated,-2.44,0.14,74.29,-2.73,-2.15,1,-83.33%,-38.43%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
